0.27   ,     0.27
0.55   ,     0.55
0.82   ,     0.83
1.09   ,     1.10
1.36   ,     1.39
1.64   ,     1.66
1.91   ,     1.94
2.19   ,     2.23
2.47   ,     2.51
2.75   ,     2.79
3.03   ,     3.07
3.31   ,     3.36
3.58   ,     3.64
3.86   ,     3.92
4.13   ,     4.20
4.40   ,     4.48
4.67   ,     4.75
4.94   ,     5.02
5.20   ,     5.29
5.46   ,     5.55
5.72   ,     5.81
5.97   ,     6.07
6.22   ,     6.32
6.46   ,     6.57
6.70   ,     6.81
6.93   ,     7.04
7.16   ,     7.27
7.37   ,     7.50
7.59   ,     7.71
7.80   ,     7.93
8.00   ,     8.14
8.20   ,     8.34
8.39   ,     8.53
8.58   ,     8.72
8.76   ,     8.91
8.94   ,     9.08
9.11   ,     9.26
9.27   ,     9.42
9.42   ,     9.58
9.57   ,     9.73
9.71   ,     9.87
9.84   ,     10.01
9.97   ,     10.13
10.09   ,     10.26
10.20   ,     10.37
10.30   ,     10.47
10.40   ,     10.57
10.48   ,     10.66
10.57   ,     10.74
10.64   ,     10.82
10.70   ,     10.88
10.76   ,     10.94
10.81   ,     10.99
10.86   ,     11.04
10.89   ,     11.08
10.93   ,     11.11
10.95   ,     11.13
10.97   ,     11.15
10.97   ,     11.16
10.98   ,     11.16
10.98   ,     11.16
10.98   ,     11.16
10.97   ,     11.15
10.96   ,     11.14
10.94   ,     11.12
10.91   ,     11.09
10.88   ,     11.06
10.84   ,     11.02
10.79   ,     10.97
10.74   ,     10.92
10.69   ,     10.86
10.63   ,     10.81
10.57   ,     10.74
10.50   ,     10.67
10.43   ,     10.60
10.35   ,     10.52
10.27   ,     10.44
10.18   ,     10.35
10.09   ,     10.26
9.99   ,     10.16
9.89   ,     10.06
9.78   ,     9.95
9.67   ,     9.83
9.55   ,     9.71
9.42   ,     9.58
9.29   ,     9.45
9.16   ,     9.31
9.03   ,     9.18
8.89   ,     9.04
8.75   ,     8.89
8.60   ,     8.74
8.45   ,     8.59
8.29   ,     8.43
8.12   ,     8.26
7.96   ,     8.09
7.78   ,     7.91
7.60   ,     7.73
7.42   ,     7.54
7.23   ,     7.35
7.04   ,     7.16
6.84   ,     6.95
6.64   ,     6.75
6.43   ,     6.54
6.21   ,     6.32
6.00   ,     6.10
5.77   ,     5.87
5.54   ,     5.64
5.31   ,     5.40
5.08   ,     5.16
4.83   ,     4.91
4.58   ,     4.66
4.33   ,     4.40
4.07   ,     4.14
3.81   ,     3.87
3.54   ,     3.60
3.27   ,     3.32
2.99   ,     3.03
2.70   ,     2.75
2.42   ,     2.46
2.12   ,     2.16
1.83   ,     1.86
1.53   ,     1.56
1.23   ,     1.24
0.92   ,     0.94
0.61   ,     0.62
0.30   ,     0.30
-0.02   ,     -0.03
-0.35   ,     -0.36
-0.68   ,     -0.69
-1.01   ,     -1.03
-1.34   ,     -1.37
-1.68   ,     -1.71
-2.03   ,     -2.06
-2.38   ,     -2.42
-2.73   ,     -2.78
-3.10   ,     -3.15
-3.46   ,     -3.52
-3.84   ,     -3.90
-4.21   ,     -4.29
-4.59   ,     -4.67
-4.97   ,     -5.06
-5.35   ,     -5.45
-5.74   ,     -5.84
-6.12   ,     -6.22
-6.50   ,     -6.61
-6.88   ,     -7.00
-7.27   ,     -7.39
-7.65   ,     -7.78
-8.03   ,     -8.17
-8.41   ,     -8.56
-8.79   ,     -8.95
-9.17   ,     -9.33
-9.55   ,     -9.71
-9.93   ,     -10.10
-10.30   ,     -10.48
-10.68   ,     -10.86
-11.05   ,     -11.24
-11.42   ,     -11.62
-11.78   ,     -11.99
-12.15   ,     -12.36
-12.51   ,     -12.73
-12.87   ,     -13.09
-13.22   ,     -13.45
-13.57   ,     -13.81
-13.93   ,     -14.17
-14.27   ,     -14.52
-14.62   ,     -14.88
-14.96   ,     -15.23
-15.30   ,     -15.57
-15.64   ,     -15.92
-15.97   ,     -16.26
-16.30   ,     -16.59
-16.63   ,     -16.93
-16.96   ,     -17.25
-17.28   ,     -17.59
-17.60   ,     -17.91
-17.91   ,     -18.23
-18.23   ,     -18.55
-18.54   ,     -18.86
-18.84   ,     -19.18
-19.15   ,     -19.49
-19.45   ,     -19.80
-19.75   ,     -20.10
-20.05   ,     -20.41
-20.35   ,     -20.71
-20.64   ,     -21.01
-20.93   ,     -21.30
-21.22   ,     -21.59
-21.50   ,     -21.88
-21.77   ,     -22.16
-22.05   ,     -22.44
-22.32   ,     -22.72
-22.59   ,     -22.99
-22.85   ,     -23.26
-23.11   ,     -23.53
-23.37   ,     -23.79
-23.63   ,     -24.05
-23.89   ,     -24.31
-24.14   ,     -24.57
-24.39   ,     -24.82
-24.64   ,     -25.08
-24.88   ,     -25.33
-25.13   ,     -25.58
-25.37   ,     -25.82
-25.61   ,     -26.06
-25.84   ,     -26.30
-26.07   ,     -26.53
-26.30   ,     -26.77
-26.53   ,     -27.00
-26.75   ,     -27.23
-26.98   ,     -27.46
-27.21   ,     -27.69
-27.43   ,     -27.92
-27.65   ,     -28.14
-27.86   ,     -28.36
-28.08   ,     -28.58
-28.29   ,     -28.79
-28.50   ,     -29.01
-28.71   ,     -29.23
-28.92   ,     -29.44
-29.13   ,     -29.65
-29.34   ,     -29.86
-29.54   ,     -30.07
-29.74   ,     -30.28
-29.95   ,     -30.48
-30.15   ,     -30.69
-30.34   ,     -30.89
-30.54   ,     -31.09
-30.73   ,     -31.28
-30.92   ,     -31.48
-31.11   ,     -31.67
-31.30   ,     -31.86
-31.49   ,     -32.06
-31.68   ,     -32.25
-31.87   ,     -32.44
-32.05   ,     -32.62
-32.24   ,     -32.81
-32.42   ,     -33.00
-32.60   ,     -33.19
-32.79   ,     -33.37
-32.97   ,     -33.56
-33.15   ,     -33.74
-33.33   ,     -33.92
-33.50   ,     -34.10
-33.68   ,     -34.28
-33.86   ,     -34.46
-34.03   ,     -34.64
-34.20   ,     -34.82
-34.38   ,     -34.99
-34.55   ,     -35.17
-34.72   ,     -35.34
-34.89   ,     -35.52
-35.06   ,     -35.69
-35.23   ,     -35.86
-35.40   ,     -36.04
-35.57   ,     -36.21
-35.74   ,     -36.38
-35.91   ,     -36.55
-36.08   ,     -36.72
-36.25   ,     -36.89
-36.41   ,     -37.06
-36.58   ,     -37.23
-36.75   ,     -37.40
-36.91   ,     -37.57
-37.08   ,     -37.75
-37.25   ,     -37.92
-37.42   ,     -38.08
-37.58   ,     -38.26
-37.75   ,     -38.42
-37.92   ,     -38.59
-38.08   ,     -38.76
-38.25   ,     -38.93
-38.41   ,     -39.10
-38.58   ,     -39.27
-38.74   ,     -39.43
-38.91   ,     -39.60
-39.07   ,     -39.77
-39.24   ,     -39.94
-39.40   ,     -40.10
